Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,1.11,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.94,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.24,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.2,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.12,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,55,Dominica,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0,Fc,Calculated data
