Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,"Gadiformes nei, frozen",0,.,0,.,0,.,0,.,36,.,56,.,24,.
Aruba,Import,"Gadiformes, fresh or chilled, nei",0,.,0,.,0,.,0,.,292,.,283,.,320,.
Aruba,Import,"Haddock fillets, frozen",0,.,0,.,0,.,0,.,156,.,0,-,0,-
Aruba,Import,"Haddock, fresh or chilled",0,.,0,.,3,0,0,-,0,-,0,-,0,-
Aruba,Import,"Halibuts nei, frozen",1,0,0,-,0,-,0,-,0,-,10,.,35,.
Aruba,Import,"Herring nei, fillets, frozen",0,.,0,.,0,.,0,.,0,.,1,0,0,-
Aruba,Import,"Herring, salted or in brine",15,.,1,0,0,0,4,.,18,.,3,.,11,.
Aruba,Import,"Herrings nei, frozen",0,0,0,-,0,0,0,0,0,0,7,.,0,0
Aruba,Import,"Herrings nei, smoked",14,.,6,.,14,.,5,.,0,-,0,0,0,0
Aruba,Import,"Herrings prepared or preserved, not minced, nei",9,.,15,.,14,.,4,.,2,.,1,0,2,0
Aruba,Import,"Herrings, fresh or chilled, nei",5,.,11,.,7,.,18,0,6,0,2,.,6,.
Aruba,Import,"Livers, roes, milt, dried, salted or in brine, nei",0,-,0,0,4,.,0,0,0,-,0,0,0,0
Aruba,Import,"Livers, roes, milt, fresh or chilled, nei",1,0,0,0,0,.,2,.,1,0,0,0,0,0
Aruba,Import,"Livers, roes, milt, frozen",0,.,7,0,2,0,3,0,1,0,0,-,0,-
Aruba,Import,"Lobster tails or meat, prep. or pres.",3,0,2,0,1,0,1,0,2,0,1,0,0,0
Aruba,Import,"Mackerel prepared or preserved, not minced, nei",21,.,29,.,26,.,23,.,32,.,23,.,26,.
Aruba,Import,"Mackerels nei, frozen",0,.,3,0,19,.,5,.,2,0,23,.,8,.
Aruba,Import,"Mackerels, nei, fresh or chilled",2,0,2,0,2,0,4,0,0,0,0,0,1,0
Aruba,Import,"Marine mammal oils, nei",0,-,0,-,0,-,0,-,0,-,1,0,0,-
Aruba,Import,Miscellaneous corals and shells,0,0,0,0,6,0,3,.,0,0,0,-,0,-
Aruba,Import,"Miscellaneous crustaceans, not frozen, nei",19,.,9,.,7,.,10,.,6,.,12,.,19,.
Aruba,Import,"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",149,.,128,.,192,.,113,.,391,.,232,.,337,.
