Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,Ornamental saltwater fish,0,.,0,.,0,.,0,.,212,.,300,.,336,.
Aruba,Import,"Other  edible fish offal, dried, salted or in brine",0,.,0,.,0,.,0,.,2,.,1,.,13,.
Aruba,Import,"Other aquatic invertebrates, prepared or preserved, nei",0,.,0,.,0,.,0,.,67,.,50,.,37,.
Aruba,Import,Other seaweeds and aquatic plants and products thereof,11,.,7,.,10,.,11,.,2,.,0,-,0,-
Aruba,Import,"Oyster meat, prepared or preserved, nei",0,.,0,.,0,.,0,.,8,.,20,.,15,.
Aruba,Import,"Oysters, live fresh or chilled, nei",5,.,5,.,9,.,9,.,4,.,6,.,7,.
Aruba,Import,"Oysters, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,2,.,6,.,5,.
Aruba,Import,"Pacific salmons, fresh or chilled",0,.,0,.,0,.,0,.,20,.,46,.,44,.
Aruba,Import,"Pacific salmons, frozen, nei",16,.,78,.,139,.,147,.,91,.,112,.,89,.
Aruba,Import,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), frozen, nei",0,0,3,.,4,.,6,.,2,.,0,0,0,0
Aruba,Import,"Rock lobster and other sea crawfish, not frozen",0,0,1,.,0,0,0,0,0,0,0,-,0,0
Aruba,Import,"Saithe (=Pollock), fresh or chilled",0,.,0,.,0,.,1,.,0,-,0,-,0,-
Aruba,Import,"Salmon fillets, fresh or chilled",0,.,0,.,0,.,0,.,32,.,35,.,42,.
Aruba,Import,"Salmon fillets, frozen",0,.,0,.,0,.,0,.,2,.,2,.,1,.
Aruba,Import,"Salmon nei, not minced, prepared or preserved",30,.,38,.,29,.,23,.,18,.,19,.,33,.
Aruba,Import,"Salmonoids, fresh or chilled, nei",13,.,13,.,26,.,61,.,118,.,153,.,159,.
Aruba,Import,"Salmonoids, frozen",1,.,1,.,0,0,0,-,1,.,1,.,0,-
Aruba,Import,"Salmons, fresh or chilled, nei",2,.,1,.,3,.,2,.,0,0,0,-,0,-
Aruba,Import,"Salmons, smoked",6,.,7,.,6,.,8,.,3,.,3,.,6,.
Aruba,Import,"Sardines, sardinellas, brisling or sprats, fresh or chilled",0,0,2,.,0,.,0,.,8,.,22,.,0,0
Aruba,Import,"Sardines, sardinellas, brisling or sprats, frozen",7,.,0,0,0,0,0,0,0,0,0,-,0,0
Aruba,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",24,.,30,.,62,.,42,.,44,.,36,.,87,.
Aruba,Import,"Scallops, live, fresh or chilled, nei",3,.,1,.,2,.,1,.,2,.,4,.,17,.
Aruba,Import,"Scallops, other than live, fresh or chilled",14,.,13,.,21,.,16,.,22,.,17,.,9,.
Aruba,Import,"Sea-cucumber, live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,2,.,0,-
Aruba,Import,"Seabass, fresh or chilled",0,.,0,.,0,.,0,.,0,0,0,0,1,.
Aruba,Import,"Seabass, frozen",0,.,0,.,0,0,0,.,0,0,4,.,10,F
Aruba,Import,"Seaweeds and other algae, fit for human consumption, nei",0,.,0,.,0,.,0,.,8,.,12,.,14,.
Aruba,Import,"Seaweeds and other algae, unfit for human consumption, nei",0,.,0,.,0,.,0,.,1,.,1,.,1,.
Aruba,Import,"Shark fins, dried, whether or not salted, etc.",0,.,0,.,0,.,0,.,0,0,0,0,1,.
Aruba,Import,"Shrimps and prawns, frozen, nei",266,.,220,.,290,.,299,.,34,.,0,.,0,.
Aruba,Import,"Shrimps and prawns, not frozen, nei",29,.,41,.,59,.,38,.,5,.,0,.,0,.
Aruba,Import,"Shrimps and prawns, other than coldwater, frozen",0,.,0,.,0,.,0,.,242,.,362,.,376,.
