country,Total_GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Grenada,Local currency in bn (Real prices),0.887397,0.966736,0.979749,0.958672,1.01277,0.998893,0.888781,0.995622,1.09025,0.953771,0.807289,0.96923,1.26739,1.17556,1.06823,1.05334,1.01617,0.944286,0.948471,1.54181,1.5807,1.58336,1.72048,1.84826,1.87893,1.96944,2.04759,2.13182,2.22502,2.32633,2.43442,2.55056,2.67132,2.79463,2.92234
Grenada,Percentage growth,-3.69077,8.94057,1.34608,-2.15129,5.64353,-1.37061,-11.0234,12.0211,9.50478,-12.5185,-15.3582,20.0599,30.7625,-7.24577,-9.13029,-1.39396,-3.52798,-7.0744,0.44323,62.5577,2.52202,0.168633,8.65973,7.42728,1.65948,4.81688,3.96796,4.11394,4.37145,4.55359,4.64632,4.77068,4.73482,4.6158,4.56988
Grenada,Percentage of GDP,56.7392,59.1852,57.1171,50.0104,49.4234,46.4742,42.2053,45.7093,45.725,40.2615,30.0856,37.6221,46.3571,42.5939,41.4645,41.0781,39.3273,37.0186,36.2894,54.9487,53.0287,52.1454,55.3837,56.558,55.7957,56.9074,57.6382,58.5078,59.5994,60.897,62.3562,63.9642,65.6126,67.286,69.0516
Grenada,US$ in bn (Nominal prices),0.194146,0.217157,0.224008,0.222998,0.238225,0.241687,0.219656,0.246984,0.270243,0.241214,0.209206,0.262866,0.351704,0.351817,0.319807,0.316719,0.306224,0.296105,0.305782,0.500856,0.5287,0.553591,0.624108,0.684542,0.708428,0.75666,0.802418,0.852136,0.907175,0.967452,1.03265,1.10355,1.17892,1.258,1.34179
Grenada,US$ in bn (Real prices),0.328666,0.35805,0.36287,0.355064,0.375102,0.36996,0.329178,0.368749,0.403798,0.353249,0.298996,0.358974,0.469404,0.435392,0.395639,0.390124,0.376361,0.349735,0.351286,0.571042,0.585444,0.586431,0.637214,0.684542,0.695902,0.729422,0.758366,0.789564,0.82408,0.861605,0.901638,0.944652,0.989379,1.03505,1.08235
Guadeloupe,Local currency in bn (Nominal prices),0.560911,0.643951,0.627697,0.725715,0.646898,0.737441,0.712753,0.666464,0.58482,0.542237,0.539691,0.553372,0.591654,0.594495,0.494898,0.415228,0.449482,0.442199,0.460965,0.470451,0.484692,0.486981,0.4981,0.510072,0.535931,0.551937,0.567855,0.585955,0.609956,0.637056,0.661852,0.690685,0.719025,0.745504,0.769874
Guadeloupe,Local currency in bn (Real prices),0.660524,0.748309,0.721544,0.821512,0.729675,0.831252,0.786798,0.712417,0.603884,0.546855,0.535604,0.533961,0.557827,0.5491,0.446783,0.419913,0.45724,0.446569,0.46831,0.477758,0.484374,0.486655,0.498577,0.510072,0.533346,0.539572,0.544623,0.551883,0.564441,0.578936,0.590424,0.604697,0.617694,0.628297,0.636407
Guadeloupe,Percentage growth,39.6188,13.2903,-3.57675,13.8547,-11.179,13.9208,-5.34787,-9.45358,-15.2345,-9.44375,-2.05734,-0.30674,4.46972,-1.56447,-18.6336,-6.01421,8.88924,-2.33369,4.86838,2.01746,1.38486,0.470909,2.44976,2.30556,4.56293,1.16724,0.936142,1.33313,2.27536,2.56815,1.98432,2.41734,2.14935,1.71661,1.29072
Guadeloupe,Percentage of GDP,13.0536,14.0718,13.0741,14.402,12.1421,13.1843,11.9993,10.7467,8.67572,7.78633,7.30473,7.13254,7.26252,7.07111,6.04361,5.4045,5.71351,5.5469,5.77651,5.84048,5.81095,5.81539,5.93393,6.01064,6.24431,6.2983,6.3162,6.3819,6.50824,6.65674,6.76987,6.93977,7.07055,7.19985,7.30153
Guadeloupe,US$ in bn (Nominal prices),0.734108,0.817508,0.712273,0.813519,0.689448,0.68111,0.638362,0.630191,0.661525,0.67449,0.671424,0.694813,0.810849,0.874773,0.690275,0.5505,0.625659,0.568132,0.612216,0.624994,0.537772,0.539009,0.561639,0.60792,0.639745,0.660923,0.682115,0.706055,0.737263,0.77241,0.804959,0.842616,0.879889,0.915089,0.947891
Guadeloupe,US$ in bn (Real prices),0.787233,0.891859,0.859959,0.979104,0.86965,0.990713,0.93773,0.849081,0.719728,0.651759,0.63835,0.636392,0.664836,0.654435,0.53249,0.500465,0.544953,0.532235,0.558147,0.569407,0.577292,0.580011,0.59422,0.60792,0.635659,0.643079,0.649099,0.657752,0.672718,0.689995,0.703686,0.720697,0.736187,0.748825,0.75849
Haiti,Local currency in bn (Nominal prices),2.52402,3.32172,3.8416,4.4678,4.26723,4.46183,4.31243,5.20318,6.55319,6.87891,6.42579,9.62539,11.0302,21.3827,23.9634,16.9488,23.1776,26.428,32.0212,33.0931,43.4469,47.5947,46.3584,53.0593,63.9665,73.6311,82.8096,93.7513,106.516,121.123,138.416,158.648,180.879,205.822,233.248
Haiti,Local currency in bn (Real prices),29.6096,35.3143,36.3034,36.922,32.9937,30.978,26.8372,29.5022,29.2702,25.2542,20.0864,26.1966,27.7964,47.7534,51.5974,34.5961,44.0098,47.6548,54.1525,53.5687,65.7896,63.9571,53.8551,53.0593,56.6075,58.5973,60.0746,61.9984,64.2115,66.5606,69.3376,72.4457,75.2935,78.101,80.6816
Haiti,Percentage growth,243.13,19.2663,2.80087,1.70409,-10.6395,-6.1091,-13.3671,9.9305,-0.786583,-13.7204,-20.4631,30.4198,6.10657,71.7972,8.04984,-32.95,27.2103,8.28226,13.6349,-1.078,22.8136,-2.78539,-15.7951,-1.47752,6.68715,3.51511,2.52103,3.20242,3.56966,3.65825,4.17213,4.48265,3.93092,3.72872,3.30418
